"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,European Union,Slovak,927.53,429.41,97.12,51.16,5.00,9.00,0.00,14.94,7.29,3.94,5.80,0.00,0.00,215.77,7.94,5.71,102.88,299.84,221.83,9.50,68.51,198.27,7.00,13.00,75.06,103.21,0.00
Jun-26,FTE,European Union,Slovenian,178.73,100.52,39.11,17.45,1.00,3.20,0.00,10.66,4.80,1.00,1.00,0.00,0.00,31.57,0.88,0.00,28.96,49.49,31.91,2.00,15.58,28.73,2.00,4.00,12.07,10.66,0.00
Jun-26,FTE,European Union,Spanish,4979.84,2834.40,633.36,365.07,17.36,40.53,2.00,96.30,60.75,22.39,25.00,2.96,1.00,1450.99,113.92,8.90,627.23,1455.15,1056.14,13.00,386.00,690.20,8.45,39.65,260.22,381.88,0.10
Jun-26,FTE,European Union,Swedish,869.40,553.89,151.86,53.15,2.33,1.60,0.00,36.60,27.18,10.94,17.85,0.80,1.42,201.06,23.53,1.00,176.44,203.82,149.67,5.71,48.44,111.69,3.00,13.00,59.51,36.17,0.00
Jun-26,FTE,European Economic Area,All nationalities,600.65,399.71,130.20,43.36,0.00,4.90,1.53,35.32,25.25,9.96,9.89,0.00,0.00,123.94,19.60,6.50,119.48,144.87,89.44,3.48,51.94,56.08,4.00,2.90,36.15,13.03,0.00
Jun-26,FTE,European Economic Area,Icelandic,24.70,17.67,8.89,4.89,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,8.18,0.00,0.00,0.60,5.03,2.23,1.00,1.80,2.00,0.00,0.00,2.00,0.00,0.00
Jun-26,FTE,European Economic Area,Norwegian,376.34,235.98,49.71,12.31,0.00,3.90,0.00,9.19,14.31,5.00,5.00,0.00,0.00,79.44,14.75,3.50,88.58,99.95,57.25,2.48,40.22,40.41,4.00,2.90,23.89,9.63,0.00
Jun-26,FTE,European Economic Area,Swiss,199.62,146.06,71.60,26.16,0.00,1.00,1.53,24.13,8.94,4.96,4.89,0.00,0.00,36.31,4.85,3.00,30.30,39.89,29.97,0.00,9.92,13.67,0.00,0.00,10.27,3.40,0.00
Jun-26,FTE,Rest of World,All nationalities,245022.20,167347.61,45866.84,8666.46,1131.56,5629.54,83.93,13260.16,13874.31,1756.57,1367.76,64.57,31.97,100831.27,1702.06,1000.95,17946.48,60468.73,51057.38,531.56,8879.79,17168.35,219.84,757.37,7240.01,8951.12,37.51
Jun-26,FTE,Rest of World,Afghan,236.09,138.56,77.74,7.20,0.00,9.20,0.00,16.87,32.94,7.00,4.53,0.00,0.00,33.64,4.08,2.00,21.11,75.75,44.75,3.40,27.61,21.77,0.00,2.00,8.23,11.55,0.00
